,0
0,37.6
1,57.5
2,19.1
3,363.4
4,23.3
5,33.0
6,77.0
7,104.9
8,45.1
9,15.8
10,157.1
11,142.9
12,22.7
13,74.4
14,25.1
15,24.6
16,103.3
17,21.8
18,70.0
19,37.5
20,81.3
21,33.2
22,50.3
23,160.7
24,42.1
25,107.9
26,37.7
27,157.3
28,126.7
29,33.7
30,23.6
31,24.0
32,27.8
33,28.2
34,47.0
35,23.3
36,83.5
37,41.6
38,49.2
39,21.3
40,30.0
41,68.7
42,23.2
43,56.5
44,20.7
45,36.6
46,25.2
47,22.4
48,56.0
49,19.8
50,31.7
51,24.1
52,47.2
53,117.1
54,49.3
55,51.8
56,25.3
57,53.6
58,79.2
59,23.4
60,104.3
61,73.2
62,22.0
63,38.3
64,246.0
65,37.3
66,26.4
67,42.8
68,95.3
69,166.1
70,90.7
71,30.5
72,27.9
73,95.8
74,22.6
75,82.9
76,50.5
77,26.0
78,36.1
79,142.6
80,64.4
81,25.4
82,106.5
83,112.2
84,26.8
85,71.6
86,155.0
87,22.0
88,21.3
89,40.4
90,26.4
91,25.5
92,66.6
93,49.7
94,58.7
95,25.2
96,32.3
97,25.6
98,22.1
99,32.3
100,26.2
101,118.3
102,33.2
103,30.5
104,21.9
105,26.8
