,0
0,15.3
1,23.6
2,11.1
3,328.6
4,7.7
5,16.3
6,45.8
7,48.8
8,35.9
9,15.0
10,145.0
11,91.5
12,17.1
13,49.5
14,11.5
15,7.9
16,41.8
17,10.6
18,35.6
19,9.6
20,45.7
21,11.1
22,30.2
23,108.9
24,29.7
25,65.4
26,12.7
27,586.6
28,70.9
29,9.8
30,7.3
31,24.7
32,15.7
33,20.3
34,17.5
35,9.0
36,58.0
37,15.8
38,28.3
39,10.5
40,11.6
41,45.3
42,8.4
43,31.4
44,19.6
45,16.3
46,7.9
47,8.3
48,22.5
49,12.7
50,12.8
51,9.0
52,23.8
53,101.5
54,25.9
55,50.6
56,7.6
57,29.0
58,57.6
59,9.0
60,75.5
61,35.0
62,8.2
63,20.0
64,449.2
65,9.6
66,9.5
67,46.9
68,61.0
69,109.7
70,33.0
71,8.7
72,7.7
73,69.7
74,8.7
75,39.9
76,23.9
77,14.6
78,21.1
79,87.0
80,24.3
81,13.0
82,59.9
83,93.1
84,13.3
85,43.9
86,85.4
87,8.3
88,12.1
89,12.4
90,8.5
91,7.8
92,28.9
93,18.4
94,46.6
95,11.8
96,8.7
97,8.4
98,8.3
99,12.8
100,13.4
101,57.3
102,13.9
103,7.9
104,13.0
105,13.5
