Name,SKU,2016-06-01,2016-06-02,2016-06-03,2016-06-04,2016-06-05,2016-06-06,2016-06-07,2016-06-08,2016-06-09,2016-06-10,2016-06-11,2016-06-12,2016-06-13,2016-06-14,2016-06-15,2016-06-16,2016-06-17,2016-06-18,2016-06-19,2016-06-20,2016-06-21,2016-06-22,2016-06-23,Cluster
shang-hai-shi,dm,239.6,223.1,209.8,330.6,417.5,362.4,234.9,292.4,229.3,243,286.7,367.1,374.9,234.4,305.1,241,215.8,293.8,366.8,359.4,232.5,238.9,270.3,0
shang-rao-shi,dm,26.6,28.6,28.2,30.6,32.4,35.4,23.8,27.5,27.1,27,32,32.7,33.7,29.2,31.6,24.8,24.3,32,36.5,33.6,25.5,26.3,26.8,1
dong-guan-shi,dm,100.9,100.2,92.5,126.9,110.3,140.7,103.3,94.3,117.6,107.7,116.2,129.5,125.8,106.1,90.5,130,93.8,118.9,125.4,120.4,108.3,112.2,88.3,2
dong-ying-shi,dm,23.7,20.5,18.5,28.8,44.3,39.6,22.6,23.2,21.7,22,29.3,37.1,39.9,20,26.7,23.1,22.3,27,36.3,39.7,21.6,19.9,18.9,1
zhong-shan-shi,dm,29.8,29.4,34.4,39.4,51.1,47,31.6,28.2,30.9,33.8,36.6,51.5,52.4,34.7,39.2,30,33.6,37.8,44.4,50.9,33.8,29.9,36.8,1
lin-fen-shi,dm,20,15.2,21.3,27.3,29.2,28.9,22.3,20.3,23.4,23.7,23.9,28.1,29,21.8,23.2,18.9,21.3,23.4,29.7,24.3,22.9,22.4,21,1
lin-yi-shi,dm,57.2,71.1,55.3,62.7,75.4,79,53.5,55.5,51.6,57.8,62.3,75.4,73.6,56.1,53.4,45.5,53.4,71.7,67.4,81.1,52.5,62.1,53.6,1
jiu-jiang-shi,dm,26.9,28.6,26.3,30.6,31.1,28.2,24,24.6,16.2,19.7,27.9,35.1,31,22.5,23.1,26,23.7,29.7,31.6,35.6,22.3,24,22.7,1
bo-zhou-shi,dm,27.5,27.1,18.4,23.1,26.8,29.6,22.9,21.6,20.4,24.9,26.7,25.8,27.4,23,18,21.6,23.1,20.6,23.9,29.2,20.9,23.5,25.7,1
fo-shan-shi,dm,74.5,75.8,62.6,84.3,104.5,118.2,70.1,63,65.5,68.1,90,103.3,107.4,70.2,71.5,62.2,77.1,88.4,103.4,123.2,65.4,59.4,77.8,2
bao-ding-shi,dm,64.5,64.7,54.4,60.4,73,76.3,52.1,60.4,65.1,50.5,72.4,74.5,73.6,62,53.7,57.3,45.1,62.5,80.3,69,56.6,54.9,54.9,1
xin-yang-shi,dm,30.3,24.6,24.9,33.3,37.5,33.4,25.7,24.1,22.1,22.4,27.3,37.7,36.1,24.9,27.6,27.9,27.1,28.9,33.9,33.9,26.8,22.3,27.7,1
lu-an-shi,dm,18.2,21.7,16.5,22.6,25,27.4,21.1,18.8,16.1,19.9,28.1,27.7,23.3,20,19.6,19.2,19.6,19.5,23.6,24.5,18.7,20.2,17.5,1
lan-zhou-shi,dm,21.4,20,24.5,25.9,32.3,31.3,22.3,21.1,19.6,21.7,28.3,31.9,31.2,21.5,20,17.6,19.9,23.2,31.9,29.1,19.4,21.1,19.9,1
bao-tou-shi,dm,20.3,15.5,19,28.9,36.4,35.2,20,18.1,20.8,24,22.4,38.2,38.2,19,19.5,18.5,19.1,23.9,36.1,33.9,19.1,20.3,19.1,1
bei-jing-shi,dm,445.6,294.5,294.4,430.7,496.6,505.7,373.5,382.5,371.9,315.3,483.8,452,467,373.1,355.7,392,373.7,498.6,494.4,523.3,346.8,369,373.8,0
nan-jing-shi,dm,93.7,109,117.7,142.8,167.5,176.3,109.7,120.2,106.6,135.4,115.5,167.4,152.9,116.4,114.2,104.2,130.2,143.7,184.1,180.5,121.4,121.1,110.9,2
nan-ning-shi,dm,55.5,56.5,42.2,56.5,63.2,62.2,46,49.7,49.9,53.8,49.1,63.6,63.8,45,45.7,44.1,43.5,60.8,66.7,62.4,47.6,44.8,52.4,1
nan-chang-shi,dm,57.2,47.7,52,55.6,55.9,73.4,45.2,47.2,51.3,49.7,56.8,66.6,68.4,49.5,45.1,46.5,41.9,65.6,60.9,65.6,46.9,52.1,38.4,1
nan-tong-shi,dm,52.7,45.7,48.6,70.9,84.3,83.5,51.5,40.4,48,49.2,63.3,84.5,81.8,50.4,46.2,43.2,41.2,69.7,89.6,91,53.3,55.8,42.2,2
nan-yang-shi,dm,24.5,21.3,28.3,30,39.4,35,25.5,28.6,25.1,27.1,30,40.5,42.2,27.3,31.6,26.1,23.6,34.4,41.4,37.2,26.1,24.2,20,1
gang-kou-CDC-suo-zai-cheng-shi,dm,49.7,38.4,52.9,59.8,83.6,89.5,50.8,44.2,54.7,58.6,67.7,82.9,83.9,51.5,48.6,39.2,48,59.7,83.1,83.2,51,50.3,47.6,2
tai-zhou-shi,dm,63.1,54.8,47.9,49.6,73.6,62.2,50.2,48.6,48.1,46.8,58.4,82.6,71.1,48.8,48.9,56.9,56.1,58.5,70.5,69.2,47.2,43.4,49,1
he-fei-shi,dm,139.6,112.6,123.7,148.5,163.6,146.7,119.7,140.8,130.3,127.1,108.2,134.5,155.7,124.9,124,115.7,135.1,130.3,143.9,174.8,116.4,142.3,124.5,2
ji-lin-shi,dm,21.6,26.3,25.5,30.4,34.1,37.8,22.2,23.3,24.9,23.3,25.3,35.9,34.4,24.5,26.2,19.5,24.9,27.5,33.7,31.3,24.4,17.5,23.1,1
zhou-kou-shi,dm,27.3,32.5,39.7,34.3,40.2,38.1,31.9,31.9,25.1,29.8,37.2,46.7,42.9,30.3,34,32.1,29.5,31.1,42.5,40.8,32.9,29.4,32.4,1
hu-he-hao-te-shi,dm,24.1,24.6,23.5,27.9,41.6,41,22.7,29.1,19.4,24.6,28.7,36.1,38.5,25.2,22,28.9,23.5,27.9,40,37.2,24.6,28.1,22.9,1
xian-yang-shi,dm,22,21.4,19.1,24.9,34.4,35.2,21.6,22.3,18.8,22.5,29.2,31,28.1,20.5,21.8,23.9,20.1,29.3,31,28.9,19.9,21,18.6,1
ha-er-bin-shi,dm,102.2,111.7,107.7,143.7,145.8,144.8,109.5,105.4,108.6,94.1,115.7,131.4,131.4,120,122.1,127.1,89.9,108.6,131.9,104.8,113.3,105.4,95.4,2
tang-shan-shi,dm,25.2,34.4,38.7,51.5,66.1,64.9,35.2,34.2,37.1,33.9,51.6,62.6,62.8,34.3,40.5,40,41.2,52.9,64.9,66,34.2,39.4,32.5,2
shang-qiu-shi,dm,31.2,36.6,32.1,35.2,45.1,49.7,38.4,34.4,28,38.4,39,46,46.1,36.1,35.7,37.1,34.1,35.4,50.5,41.7,36.5,36.4,40,1
jia-xing-shi,dm,43.9,44.4,40.7,60.5,73.6,75.9,52.7,49.6,49.1,56,55,64.9,64.3,50.8,42.1,52.1,45.6,52,56.6,54.4,49.3,49.3,42.7,1
da-qing-shi,dm,27.1,25.2,24.7,29.4,39.2,39.2,26.8,22.4,24.1,25.9,32.6,38.1,39.5,24.9,25.6,27.1,22.8,30.5,35.8,39.2,25.6,22.7,24.3,1
da-lian-shi,dm,79.9,66.1,69.9,84.5,112.5,116.4,79,74.9,71.5,78.9,101.2,114.2,98,76.1,76.1,79.8,73,95.4,118.1,105.3,74.4,73.7,78.6,2
tian-jin-shi,dm,163,152.6,135.7,172.4,222.8,239.5,136.3,129.9,107.4,133.1,175.7,204,246.5,147.5,147.8,107.2,138.9,177.7,228,218.6,143.2,145,154.9,0
tai-yuan-shi,dm,81.8,78.5,90.4,83.8,89.7,86.6,89.2,97.9,64.5,81,98.4,89,110.2,77.1,65,80,84.4,92.4,77.5,104.9,84.3,82.3,75.3,1
wei-hai-shi,dm,25.8,22.3,27.1,33.1,36.6,39.7,26.5,22.6,27.4,22.9,34.2,40,39.5,27.5,26.1,25.2,24.6,34.6,45.6,40.7,23.9,25.6,25.9,1
ning-de-shi,dm,20.4,24.1,25.6,29.6,31.1,29.7,20.9,24.8,25,25.6,22,28.9,33.7,21.3,18.7,23.3,21.1,28.1,33.1,32.3,22.3,26.1,24,1
ning-bo-shi,dm,84.9,67.7,79.7,86.3,127.4,124.5,86.1,59.8,74.7,82.2,88,117.5,115.5,72.1,84,83.5,87.1,99.1,101.5,127.4,85.6,79,94,2
su-zhou-shi,dm,26.6,28.5,28.9,28.7,35.8,35.8,27.3,24.5,25.1,29.6,31.1,34.8,37.8,29.1,25.8,23.3,27.7,30.3,35.5,35.4,27.3,30.7,24.2,1
su-qian-shi,dm,31.2,31.4,30.8,30.3,38.5,40.6,28.8,29,31.2,32.2,36.5,44.1,44.7,29.2,26.5,31.3,28,32.2,44.4,45.8,33.5,27.1,32.9,1
chang-zhou-shi,dm,41.3,44.4,49.3,60.3,65.1,70.4,41.3,43.2,45.5,51.2,52.7,61.7,72.5,49.9,45.2,51,36.1,63.2,75.1,74.1,46.4,44.9,47,2
guang-zhou-shi,dm,145.4,177.7,174,181.5,250.7,250.5,147.8,162.7,166.1,122,204.5,246.7,260.6,158.2,154.2,146.5,170.8,204.1,232.3,261.5,159.6,169.1,127.4,0
nei-lu-CDC-suo-zai-cheng-shi,dm,52,48.8,47,68.5,72.4,67.4,53.3,52,59,50.5,64.5,65.2,62.3,52.7,56.2,48.2,53,62.9,62.1,69.5,57.2,53.1,59.4,1
zhang-jia-kou-shi,dm,23.3,18.3,19.5,28.2,31.3,28.2,20.2,19.6,22.1,24.9,22.5,28.5,29.1,22.5,25.3,23.8,22,26.2,28,29.6,21.8,27.5,22.4,1
xu-zhou-shi,dm,64,56.1,61.2,78.1,80,87.1,65.6,74.7,69.6,66.3,71,85.8,94.3,65.5,68.2,70.9,54.4,81.1,102.4,93.5,61,76.8,65.5,2
de-zhou-shi,dm,24.3,23.2,24.6,36.2,36.7,40.8,24.8,25.8,27.1,25.9,32.4,38.1,42.8,24.8,23,18.6,25.6,33.6,42.6,35.9,23.3,22.6,24,1
hui-zhou-shi,dm,46.1,41.7,49.1,64.2,62.6,60.3,42.9,41.9,46.1,47.8,59.1,68.9,66.4,50,51.5,31.3,56.8,49.9,70.4,69.8,47.8,38.2,50.7,1
cheng-du-shi,dm,133.4,134.8,156.3,189.4,229.8,224.1,172.6,168.1,156.9,136.3,191.3,240.1,231.6,143,131.8,185.2,147.7,174.1,248.1,214.9,138,151.6,145.6,2
yang-zhou-shi,dm,25.2,22.9,23.6,31.9,44.3,46.2,24.3,27.1,22.5,26.3,32.6,43.6,43,26.2,27.2,25.7,19.1,31.8,45.8,43.1,25,24.4,17.9,1
cheng-de-shi,dm,15.1,14.4,16.3,16.4,22.3,23.3,15.7,14.7,14.2,16.9,18.2,23.5,19.9,15.9,14.9,15.1,14.2,16.1,21.2,21.2,17.1,14.8,16.7,1
