From,To,Distance,Duration
nei-lu-CDC,cheng-du-DC,1841,1279
nei-lu-CDC,dong-guan-DC,2131,1386
nei-lu-CDC,guang-zhou-DC,2122,1391
nei-lu-CDC,nei-lu-CDC,0,0
nei-lu-CDC,nan-jing-DC,999,738
nei-lu-CDC,qing-dao-DC,651,491
nei-lu-CDC,gang-kou-CDC,2018,1371
nei-lu-CDC,shang-hai-DC,1154,885
nei-lu-CDC,shen-zhen-DC,2147,1398
nei-lu-CDC,tian-jin-DC,91,115
nei-lu-CDC,xi-an-DC,1071,813
nei-lu-CDC,chang-sha-DC,1461,1026
nei-lu-CDC,zheng-zhou-DC,698,496
nei-lu-CDC,hang-zhou-DC,1276,949
nei-lu-CDC,wu-han-DC,1132,832
nei-lu-CDC,da-lian-DC,837,682
nei-lu-CDC,ha-er-bin-DC,1346,1003
nei-lu-CDC,bei-jing-DC,57,110
nei-lu-CDC,ning-bo-DC,1327,976
nei-lu-CDC,chong-qing-DC,1752,1247
gang-kou-CDC,cheng-du-DC,2055,1349
gang-kou-CDC,dong-guan-DC,598,421
gang-kou-CDC,guang-zhou-DC,648,449
gang-kou-CDC,nei-lu-CDC,2046,1305
gang-kou-CDC,nan-jing-DC,1160,852
gang-kou-CDC,qing-dao-DC,1694,1148
gang-kou-CDC,gang-kou-CDC,0,0
gang-kou-CDC,shang-hai-DC,1028,801
gang-kou-CDC,shen-zhen-DC,577,404
gang-kou-CDC,tian-jin-DC,1997,1298
gang-kou-CDC,xi-an-DC,1820,1212
gang-kou-CDC,chang-sha-DC,889,649
gang-kou-CDC,zheng-zhou-DC,1532,1032
gang-kou-CDC,hang-zhou-DC,934,696
gang-kou-CDC,wu-han-DC,1031,757
gang-kou-CDC,da-lian-DC,2805,1732
gang-kou-CDC,ha-er-bin-DC,3311,2024
gang-kou-CDC,bei-jing-DC,2071,1332
gang-kou-CDC,ning-bo-DC,834,624
gang-kou-CDC,chong-qing-DC,1753,1209
