Name,qty,SKU
shang-hai-shi,449.2,im
shang-rao-shi,9.5,im
dong-guan-shi,41.8,im
dong-ying-shi,10.6,im
zhong-shan-shi,13.9,im
lin-fen-shi,8.3,im
lin-yi-shi,22.5,im
jiu-jiang-shi,8.4,im
bo-zhou-shi,7.7,im
fo-shan-shi,35.6,im
bao-ding-shi,23.6,im
xin-yang-shi,8.5,im
lu-an-shi,12.7,im
lan-zhou-shi,19.6,im
bao-tou-shi,11.1,im
bei-jing-shi,328.6,im
nan-jing-shi,101.5,im
nan-ning-shi,25.9,im
nan-chang-shi,23.8,im
nan-tong-shi,50.6,im
nan-yang-shi,7.6,im
gang-kou-CDC-suo-zai-cheng-shi,30.2,im
tai-zhou-shi,23.9,im
he-fei-shi,70.9,im
ji-lin-shi,9,im
zhou-kou-shi,7.9,im
hu-he-hao-te-shi,24.7,im
xian-yang-shi,8.3,im
ha-er-bin-shi,65.4,im
tang-shan-shi,21.1,im
shang-qiu-shi,9.6,im
jia-xing-shi,28.3,im
da-qing-shi,11.5,im
da-lian-shi,49.5,im
tian-jin-shi,87,im
tai-yuan-shi,39.9,im
wei-hai-shi,13,im
ning-de-shi,9,im
ning-bo-shi,57.6,im
su-zhou-shi,7.7,im
su-qian-shi,8.7,im
chang-zhou-shi,35.9,im
guang-zhou-shi,108.9,im
nei-lu-CDC-suo-zai-cheng-shi,29,im
zhang-jia-kou-shi,8.3,im
xu-zhou-shi,28.9,im
de-zhou-shi,7.9,im
hui-zhou-shi,17.5,im
cheng-du-shi,145,im
yang-zhou-shi,11.8,im
cheng-de-shi,15,im
jie-yang-shi,11.6,im
xin-xiang-shi,12.4,im
wu-xi-shi,43.9,im
ri-zhao-shi,8.2,im
kun-ming-shi,31.4,im
hang-zhou-shi,586.6,im
wu-han-shi,93.1,im
shan-tou-shi,20,im
jiang-men-shi,10.5,im
shen-yang-shi,61,im
cang-zhou-shi,16.3,im
quan-zhou-shi,35,im
tai-an-shi,8.7,im
tai-zhou-shi,14.6,im
luo-yang-shi,12.8,im
ji-nan-shi,58,im
ji-ning-shi,15.8,im
zi-bo-shi,13.5,im
huai-an-shi,20.3,im
shen-zhen-shi,109.7,im
wen-zhou-shi,59.9,im
hu-zhou-shi,15.7,im
zhan-jiang-shi,8.4,im
chu-zhou-shi,17.1,im
zhang-zhou-shi,12.8,im
wei-fang-shi,24.3,im
yan-tai-shi,46.6,im
zhu-hai-shi,13,im
yan-cheng-shi,18.4,im
shi-jia-zhuang-shi,33,im
fu-zhou-shi,45.7,im
shao-xing-shi,46.9,im
mian-yang-shi,9,im
liao-cheng-shi,7.9,im
wu-hu-shi,13.3,im
su-zhou-shi,69.7,im
he-ze-shi,9.8,im
heng-yang-shi,7.3,im
xiang-yang-shi,12.1,im
xi-an-shi,85.4,im
gui-yang-shi,29.7,im
gan-zhou-shi,11.1,im
yun-cheng-shi,8.7,im
lian-yun-gang-shi,16.3,im
xing-tai-shi,7.8,im
han-dan-shi,12.7,im
zheng-zhou-shi,57.3,im
chong-qing-shi,91.5,im
jin-hua-shi,45.3,im
zhen-jiang-shi,13.4,im
chang-chun-shi,45.8,im
chang-sha-shi,48.8,im
fu-yang-shi,9.6,im
qing-dao-shi,75.5,im
an-shan-shi,15.3,im
